"Activity","Date (YYYYMMDD)","Set",,"unit",,"unit","Combined","Points"
"Snatch Grip Behind the Neck Press",2013-04-11,101,30,,3,,"30 kg || 3 reps","25"
"Snatch Grip Behind the Neck Press",2013-04-11,102,20,,10,,"20 kg || 10 reps","31"
"Snatch Grip Behind the Neck Press",2013-04-11,103,20,,10,,"20 kg || 10 reps","31"
"Snatch Grip Behind the Neck Press",2013-04-11,104,20,,10,,"20 kg || 10 reps","31"
"Snatch Grip Behind the Neck Press",2013-04-11,105,20,,10,,"20 kg || 10 reps","31"
"Snatch Grip Behind the Neck Press",2013-04-11,106,20,,10,,"20 kg || 10 reps","31"
"Snatch Grip Behind the Neck Press",2013-04-13,401,30,,3,,"30 kg || 3 reps","25"
"Snatch Grip Behind the Neck Press",2013-04-19,1,20,,10,,"20 kg || 10 reps","31"
"Snatch Grip Behind the Neck Press",2013-04-19,2,30,,8,,"30 kg || 8 reps","35"
"Snatch Grip Behind the Neck Press",2013-05-07,301,20,,12,,"20 kg || 12 reps","32"
"Snatch Grip Behind the Neck Press",2013-05-07,302,14,,17,,"14 kg || 17 reps","31"
"Snatch Grip Behind the Neck Press",2013-05-07,303,14,,20,,"14 kg || 20 reps","32"
"Snatch Grip Behind the Neck Press",2013-05-30,101,20,,10,,"20 kg || 10 reps","52"
"Snatch Grip Behind the Neck Press",2013-05-30,102,20,,10,,"20 kg || 10 reps","52"
"Snatch Grip Behind the Neck Press",2013-05-30,103,20,,10,,"20 kg || 10 reps","52"
"Snatch Grip Behind the Neck Press",2013-06-01,601,30,,5,,"30 kg || 5 reps","52"
"Snatch Grip Behind the Neck Press",2013-06-01,602,30,,3,,"30 kg || 3 reps","41"
"Snatch Grip Behind the Neck Press",2013-09-11,1201,21.5,,10,,"21.5 kg || 10 reps","53"
"Snatch Grip Behind the Neck Press",2014-02-04,1,20,,15,,"20 kg || 15 reps","56"
"Snatch Grip Behind the Neck Press",2014-02-04,2,20,,15,,"20 kg || 15 reps","56"
"Snatch Grip Behind the Neck Press",2014-02-15,5,30,,5,,"30 kg || 5 reps","52"
"Snatch Grip Behind the Neck Press",2014-02-15,6,30,,5,,"30 kg || 5 reps","52"
"Snatch Grip Behind the Neck Press",2014-02-15,7,30,,5,,"30 kg || 5 reps","52"
