"Activity","Date (YYYYMMDD)","Set",,"unit",,"unit","Combined","Points"
"Standing Barbell Calf Raise",2012-11-18,201,40,,25,,"40 kg || 25 reps","16"
"Standing Barbell Calf Raise",2012-11-18,202,40,,20,,"40 kg || 20 reps","15"
"Standing Barbell Calf Raise",2012-11-18,203,45,,15,,"45 kg || 15 reps","16"
"Standing Barbell Calf Raise",2012-11-18,204,50,,15,,"50 kg || 15 reps","17"
"Standing Barbell Calf Raise",2012-11-18,205,55,,15,,"55 kg || 15 reps","18"
"Standing Barbell Calf Raise",2012-11-18,206,60,,10,,"60 kg || 10 reps","19"
"Standing Barbell Calf Raise",2013-07-29,201,50,,20,,"50 kg || 20 reps","18"
"Standing Barbell Calf Raise",2013-07-29,202,50,,20,,"50 kg || 20 reps","18"
"Standing Barbell Calf Raise",2013-07-29,203,50,,20,,"50 kg || 20 reps","18"
"Standing Barbell Calf Raise",2013-07-29,204,50,,20,,"50 kg || 20 reps","18"
"Standing Barbell Calf Raise",2013-07-29,205,50,,20,,"50 kg || 20 reps","18"
"Standing Barbell Calf Raise",2014-02-05,16,17.5,,10,,"17.5 kg || 10 reps","10"
"Standing Barbell Calf Raise",2014-02-05,17,40,,10,,"40 kg || 10 reps","14"
"Standing Barbell Calf Raise",2014-02-05,18,40,,10,,"40 kg || 10 reps","14"
